Event,Zone,Region,Category,Start Date,End Date,Year,Insured Cost,NSW,VIC,QLD,ACT,TAS,SA,NT,WA,Waters
Industrial - South Bulli Coal Mine,New South Wales,Wollongong,Industrial,1991-07-24,1991-07-24,1991,22500000.0,1,0,0,0,0,0,0,0,0
Industrial - Coode Island,Victoria,Melbourne,Industrial,1991-07-21,,1991,21000000.0,0,1,0,0,0,0,0,0,0
Industrial - Western Main,New South Wales,Hillston,Industrial,1991-05-29,1991-05-29,1991,22500000.0,1,0,0,0,0,0,0,0,0
Industrial - Leinster Mine Flood,Western Australia,Wiluna,Industrial,1989-06-13,1989-06-13,1989,26000000.0,0,0,0,0,0,0,0,1,0
"Industrial - Boiling liquid expanding vapour explosion (BLEVE), Cairns ",Queensland,Cairns,Industrial,1987-08-01,1987-08-01,1987,89000000.0,0,0,1,0,0,0,0,0,0
Industrial - Moura Mine,Queensland,Taroom,Industrial,1986-07-16,1986-07-16,1986,35000000.0,0,0,1,0,0,0,0,0,0
Industrial - Poisonous gases HMAS Stalwart,Offshore,Territorial Waters,Industrial,1985-10-22,,1985,700000.0,0,0,0,0,0,0,0,0,1
Industrial - Appin Mine Explosion,New South Wales,Wollongong,Industrial,1979-07-24,1979-07-24,1979,12500000.0,1,0,0,0,0,0,0,0,0
Industrial - Kianga Mine,Queensland,Taroom,Industrial,1975-09-20,1975-09-20,1975,17500000.0,0,0,1,0,0,0,0,0,0
Industrial - Mount St Canice,Tasmania,Hobart,Industrial,1974-09-05,1974-09-05,1974,68000000.0,0,0,0,0,1,0,0,0,0
Industrial - Box Flat Mine Ipswich,Queensland,Brisbane,Industrial,1972-07-31,1972-07-31,1972,15000000.0,0,0,1,0,0,0,0,0,0
Industrial - Blackmans Flat,New South Wales,Dubbo,Industrial,1972-01-01,1972-01-01,1972,10000000.0,1,0,0,0,0,0,0,0,0
"Industrial - Westgate Bridge Collapse, Melbourne",Victoria,Melbourne,Industrial,1970-10-15,1970-10-15,1970,12000000.0,0,1,0,0,0,0,0,0,0
Industrial â€“ Wyee State Mine,New South Wales,Sydney,Industrial,1966-10-21,1966-10-21,1966,700000.0,1,0,0,0,0,0,0,0,0
Industrial â€“ Melbourne Crane Collapse,Victoria,Melbourne,Industrial,1961-10-01,1961-10-01,1961,700000.0,0,1,0,0,0,0,0,0,0
Industrial - Collinsville Mine,Queensland,Mackay,Industrial,1954-10-13,1954-10-13,1954,700000.0,0,0,1,0,0,0,0,0,0
Industrial - Balmain colliery,New South Wales,Balmain,Industrial,1945-04-20,,1945,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Woodend Mine,Queensland,Brisbane,Industrial,1945-02-01,1945-02-01,1945,700000.0,0,0,1,0,0,0,0,0,0
Industrial - Redhead Colliery,New South Wales,Sydney,Industrial,1926-01-21,1926-01-21,1926,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Bellbird Colliery,New South Wales,Sydney,Industrial,1923-09-01,1923-09-01,1923,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Mount Mulligan Mine ,Queensland,Cairns,Industrial,1921-09-19,1921-09-19,1921,700000.0,0,0,1,0,0,0,0,0,0
Industrial - Great Extended Hustler's Mine explosion,Victoria,Bendigo,Industrial,1914-05-02,,1914,700000.0,0,1,0,0,0,0,0,0,0
Industrial - Queenstown Copper Mine Fire,Tasmania,Hobart,Industrial,1912-10-12,1912-10-12,1912,700000.0,0,0,0,0,1,0,0,0,0
Industrial - Stanford Merthyr Mine ,New South Wales,Sydney,Industrial,1905-10-29,1905-10-29,1905,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Charters Towers mine 1904,Queensland,Charters Towers,Industrial,1904-10-14,1904-10-14,1904,700000.0,0,0,1,0,0,0,0,0,0
Industrial - Burwood Colliery,New South Wales,Sydney,Industrial,1901-11-13,1901-11-13,1901,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Balmain mining fall,New South Wales,Balmain,Industrial,1900-03-17,,1900,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Greta Colliery Fire,New South Wales,Sydney,Industrial,1900-12-05,1900-12-05,1900,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Varanus Island Gas Explosion,Western Australia,Dampier,Industrial,2008-06-03,2008-06-03,2008,230000000.0,0,0,0,0,0,0,0,1,0
Industrial - Newcastle Toxic Fume Leak,New South Wales,Sydney,Industrial,2006-03-30,2006-03-30,2006,22000000.0,1,0,0,0,0,0,0,0,0
Industrial - Tullamarine Chemical Spill,Victoria,Melbourne,Industrial,2004-10-29,2004-10-29,2004,28500000.0,0,1,0,0,0,0,0,0,0
Industrial - Kakadu Mine Uranium Leak,Northern Territory,Kakadu,Industrial,2004-03-23,2004-03-23,2004,28500000.0,0,0,0,0,0,0,1,0,0
Industrial - MV Nego Kim,Western Australia,Dampier,Industrial,2001-11-18,2001-11-18,2001,30000000.0,0,0,0,0,0,0,0,1,0
Industrial - HMAS Westralia (II),Western Australia,Perth,Industrial,1998-05-05,1998-05-05,1998,23000000.0,0,0,0,0,0,0,0,1,0
Industrial - HMAS Tarakan Explosion,New South Wales,Sydney,Industrial,1950-01-25,1950-01-25,1950,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Wonthaggi Gas Explosion,Victoria,Wilsons Promontory,Industrial,1937-02-15,1937-02-15,1937,700000.0,0,1,0,0,0,0,0,0,0
Industrial - Mt Kembla Gas Explosion,New South Wales,Wollongong,Industrial,1902-07-31,1902-07-31,1902,700000.0,1,0,0,0,0,0,0,0,0
Landslide - Somersby ,New South Wales,Sydney,Landslide,2007-06-08,2007-06-08,2007,57450000.0,1,0,0,0,0,0,0,0,0
Landslide - Thredbo,New South Wales,Canberra (NSW),Landslide,1997-07-30,1997-07-30,1997,29000000.0,1,0,0,0,0,0,0,0,0
Landslide - Gracetown,Western Australia,Gracetown,Landslide,1996-09-27,1996-09-28,1996,15000000.0,0,0,0,0,0,0,0,1,0
