Event,Zone,Region,Category,Start Date,End Date,Year,Insured Cost,NSW,VIC,QLD,ACT,TAS,SA,NT,WA,Waters
Severe Storm - Dubbo,New South Wales,Dubbo,Storm,2001-01-06,2001-01-06,2001,15000000.0,1,0,0,0,0,0,0,0,0
"Severe Storm - Sydney, Wollongong and South Coast ",New South Wales,Sydney,Storm,1999-10-24,1999-10-24,1999,45000000.0,1,0,0,0,0,0,0,0,0
"Severe Storm - Sydney, Wollongong and South Coast ",New South Wales,Wollongong,Storm,1999-10-24,1999-10-24,1999,45000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Kosciuszko NP ,New South Wales,Cooma (NSW),Storm,1999-08-07,1999-08-11,1999,40000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Warwick ,Queensland,Brisbane,Storm,1998-10-13,1998-10-13,1998,23000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - Warwick ,Queensland,Lismore (QLD),Storm,1998-10-13,1998-10-13,1998,23000000.0,0,0,1,0,0,0,0,0,0
"Severe Storm - Hunter Valley, Tablelands and Southern Highlands",New South Wales,Sydney,Storm,1998-06-23,1998-06-24,1998,12000000.0,1,0,0,0,0,0,0,0,0
"Severe Storm - Hunter Valley, Tablelands and Southern Highlands",New South Wales,Wollongong,Storm,1998-06-23,1998-06-24,1998,12000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Ipswich,Queensland,Brisbane,Storm,1998-04-10,1998-04-10,1998,23000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - Sydney,New South Wales,Sydney,Storm,1998-04-09,1998-04-10,1998,10000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Sydney and Regions,New South Wales,Dubbo,Storm,1998-02-04,1998-02-04,1998,12000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Sydney and Regions,New South Wales,Sydney,Storm,1998-02-04,1998-02-04,1998,12000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Sydney and Regions,New South Wales,Tamworth,Storm,1998-02-04,1998-02-04,1998,12000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Nyngan,New South Wales,Bourke,Storm,1998-01-05,1998-01-05,1998,12000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Coffs Harbour,New South Wales,Tamworth,Storm,1996-11-23,1996-11-23,1996,20000000.0,1,0,0,0,0,0,0,0,0
Storm - Queensland Floods and Storms,Queensland,Central and South East Queensland,Storm,2020-10-31,2020-10-31,2020,957000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - New England and Hunter Valley,New South Wales,Sydney,Storm,1996-11-17,1996-11-17,1996,10000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - New England and Hunter Valley,New South Wales,Tamworth,Storm,1996-11-17,1996-11-17,1996,10000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Illawarra and Sydney,New South Wales,Sydney,Storm,1996-08-31,1996-08-31,1996,10000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Illawarra and Sydney,New South Wales,Wollongong,Storm,1996-08-31,1996-08-31,1996,10000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Hunter Valley and Mid North Coast,New South Wales,Sydney,Storm,1995-11-30,1995-11-30,1995,10000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Sydney and Blue Mountains ,New South Wales,Sydney,Storm,1994-11-20,1994-11-20,1994,29000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria",Sydney,Storm,1994-11-06,1994-11-08,1994,37000000.0,1,1,0,1,0,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria",Canberra (ACT),Storm,1994-11-06,1994-11-08,1994,37000000.0,1,1,0,1,0,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria",Melbourne,Storm,1994-11-06,1994-11-08,1994,37000000.0,1,1,0,1,0,0,0,0,0
"Severe Storm - Perth, Mandurah and South-West Coast",Western Australia,Bunbury,Storm,1994-05-23,1994-05-24,1994,37000000.0,0,0,0,0,0,0,0,1,0
"Severe Storm - Perth, Mandurah and South-West Coast",Western Australia,Geraldton,Storm,1994-05-23,1994-05-24,1994,37000000.0,0,0,0,0,0,0,0,1,0
"Severe Storm - Perth, Mandurah and South-West Coast",Western Australia,Perth,Storm,1994-05-23,1994-05-24,1994,37000000.0,0,0,0,0,0,0,0,1,0
Severe Storm - Sydney,New South Wales,Sydney,Storm,1992-02-12,1992-02-13,1992,118000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Orbost,Victoria,Cooma (VIC),Storm,1991-01-24,1991-01-24,1991,12000000.0,0,1,0,0,0,0,0,0,0
Severe Storm - Sydney,New South Wales,Sydney,Storm,1991-01-21,1991-01-21,1991,138400000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Ballarat,Victoria,Melbourne,Storm,1989-11-16,1989-11-16,1989,20000000.0,0,1,0,0,0,0,0,0,0
Severe Storm - Adelaide,South Australia,Adelaide,Storm,1986-12-06,1986-12-08,1986,10000000.0,0,0,0,0,0,1,0,0,0
"Severe Storm - Newcastle, Sydney, Wollongong",New South Wales,Sydney,Storm,1978-02-10,1978-02-11,1978,15000000.0,1,0,0,0,0,0,0,0,0
"Severe Storm - Newcastle, Sydney, Wollongong",New South Wales,Wollongong,Storm,1978-02-10,1978-02-11,1978,15000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Sydney,New South Wales,Sydney,Storm,1977-01-21,1977-01-21,1977,15000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Western Sydney,New South Wales,Sydney,Storm,1976-11-09,1976-11-09,1976,732000000.0,1,0,0,0,0,0,0,0,0
Storm - Brisbane,Queensland,Brisbane,Storm,2014-11-27,2014-11-27,2014,1040000000.0,0,0,1,0,0,0,0,0,0
Severe Storm - Sydney,New South Wales,Sydney,Storm,1937-01-25,1937-01-25,1937,700000.0,1,0,0,0,0,0,0,0,0
Storm - Victoria,Victoria,Melbourne and surrounds,Storm,2021-10-28,2021-11-08,2021,110533377.0,0,1,0,0,0,0,0,0,0
Storm - South Australia,South Australia,Adelaide,Storm,2021-10-28,2021-10-29,2021,110533377.0,0,0,0,0,0,1,0,0,0
Storm - Sydney Hailstorm,New South Wales,Sydney,Storm,1999-04-14,1999-04-14,1999,1700000000.0,1,0,0,0,0,0,0,0,0
Maritime/Coastal - Lake Illawarra,Tasmania,Hobart,Maritime/Coastal,1975-01-05,1975-01-05,1975,17500000.0,0,0,0,0,1,0,0,0,0
"Maritime/Coastal - AHS Centaur sinking, Cape Moreton ",Queensland,Brisbane,Maritime/Coastal,1943-05-14,1943-05-14,1943,700000.0,0,0,1,0,0,0,0,0,0
Maritime/Coastal - Iron Crown steamship Sinking,Victoria,Cooma (VIC),Maritime/Coastal,1942-06-04,1942-06-04,1942,700000.0,0,1,0,0,0,0,0,0,0
Maritime/Coastal - Sydney to Hobart Yacht Race ,Victoria,Bass Strait,Maritime/Coastal,1998-12-26,1998-12-30,1998,5000000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Sierra Nevada,Victoria,Wilsons Promontory,Maritime/Coastal,1900-05-09,1900-05-09,1900,700000.0,0,1,0,0,0,0,0,0,0
Shipwrecks - Richmond River Ballina,New South Wales,Lismore (NSW),Maritime/Coastal,1850-09-28,1850-09-28,1850,700000.0,1,0,0,0,0,0,0,0,0
"Shipwreck - Toroa Shipwreck, Victoria 1858",Victoria,Cape Otway,Maritime/Coastal,1858-08-06,,1858,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Koenig Willem ll,South Australia,Mount Gambier (SA),Maritime/Coastal,1857-06-30,1857-06-30,1857,700000.0,0,0,0,0,0,1,0,0,0
Shipwreck - Sally,Tasmania,Launceston,Maritime/Coastal,1826-06-30,1826-06-30,1826,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Ly-Ee-Moon,New South Wales,Cooma (NSW),Maritime/Coastal,1886-05-30,1886-05-30,1886,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Sea,Victoria,Wilsons Promontory,Maritime/Coastal,1853-05-30,1853-05-30,1853,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Ecliptic,Victoria,Wilsons Promontory,Maritime/Coastal,1874-03-30,1874-03-30,1874,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Creole,Tasmania,Launceston,Maritime/Coastal,1863-08-29,1863-08-29,1863,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Rebecca,Tasmania,Hobart,Maritime/Coastal,1853-04-29,1853-04-29,1853,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Alert,Victoria,Wilsons Promontory,Maritime/Coastal,1893-12-28,1893-12-28,1893,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Glimpse,Tasmania,Launceston,Maritime/Coastal,1863-08-28,1863-08-28,1863,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Maypo,Tasmania,Hobart,Maritime/Coastal,1855-05-28,1855-05-28,1855,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Frisk,Victoria,Wilsons Promontory,Maritime/Coastal,1853-05-28,1853-05-28,1853,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Marmion,Victoria,Wilsons Promontory,Maritime/Coastal,1853-05-28,1853-05-28,1853,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Vergulde Draeck,Western Australia,Perth,Maritime/Coastal,1656-04-28,1656-04-28,1656,700000.0,0,0,0,0,0,0,0,1,0
Shipwreck - Quetta ,Queensland,Cairns,Maritime/Coastal,1890-02-28,1890-02-28,1890,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Governor Phillip,Tasmania,Launceston,Maritime/Coastal,1848-10-27,1848-10-27,1848,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Echo,Tasmania,Hobart,Maritime/Coastal,1840-08-27,1840-08-27,1840,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Lady Franklin,Tasmania,Hobart,Maritime/Coastal,1838-04-27,1838-04-27,1838,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Tubal Cain,Victoria,Wilsons Promontory,Maritime/Coastal,1862-08-26,1862-08-26,1862,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Pandora ,Queensland,Cairns,Maritime/Coastal,1791-08-26,1791-08-26,1791,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Thetis,Victoria,Wilsons Promontory,Maritime/Coastal,1848-05-26,1848-05-26,1848,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - HMS Pelorus,Northern Territory,Darwin,Maritime/Coastal,1839-11-25,1839-11-25,1839,700000.0,0,0,0,0,0,0,1,0,0
Shipwreck - Trial (Tryal),Western Australia,Dampier,Maritime/Coastal,1622-05-25,1622-05-25,1622,700000.0,0,0,0,0,0,0,0,1,0
Shipwreck - Revenge,New South Wales,Wollongong,Maritime/Coastal,1862-03-25,1862-03-25,1862,700000.0,1,0,0,0,0,0,0,0,0
"Shipwreck - Lily of the Lake, Wild Wave, Blossom",Western Australia,Exmouth Gulf,Maritime/Coastal,1875-12-24,1875-12-24,1875,700000.0,0,0,0,0,0,0,0,1,0
Shipwreck - Haweis ,New South Wales,Sydney,Maritime/Coastal,1829-10-24,1829-10-24,1829,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Lady Bird and Champion,Victoria,Wilsons Promontory,Maritime/Coastal,1857-08-24,1857-08-24,1857,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Meg Merrilies,Victoria,Wilsons Promontory,Maritime/Coastal,1856-05-24,1856-05-24,1856,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Gothenburg ,Queensland,Ayr,Maritime/Coastal,1875-02-24,1875-02-24,1875,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Brothers,New South Wales,Sydney,Maritime/Coastal,1837-12-23,1837-12-23,1837,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Bogong,Victoria,Cooma (VIC),Maritime/Coastal,1896-09-23,1896-09-23,1896,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - British Admiral,Victoria,Wilsons Promontory,Maritime/Coastal,1874-05-23,1874-05-23,1874,700000.0,0,1,0,0,0,0,0,0,0
"Shipwreck - Highlander, Baruah, Elizabeth Jane, Effort and Pelican.",New South Wales,Sydney,Maritime/Coastal,1852-06-22,1852-06-23,1852,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Broome and Region,Western Australia,Broome,Maritime/Coastal,1887-04-22,1887-04-22,1887,700000.0,0,0,0,0,0,0,0,1,0
Shipwreck - Canmore,New South Wales,Sydney,Maritime/Coastal,1854-10-21,1854-10-21,1854,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Moolgewanke,South Australia,Murray Bridge (SA),Maritime/Coastal,1874-07-21,1874-07-21,1874,700000.0,0,0,0,0,0,1,0,0,0
Shipwreck - Brahmin,Tasmania,Launceston,Maritime/Coastal,1854-05-21,1854-05-21,1854,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Edward,Tasmania,Launceston,Maritime/Coastal,1842-05-21,1842-05-21,1842,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Stirling Castle ,Queensland,Swain Reefs,Maritime/Coastal,1836-05-21,1836-05-21,1836,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Banshee ,Queensland,Townsville,Maritime/Coastal,1876-03-21,1876-03-21,1876,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Lioness,Tasmania,Hobart,Maritime/Coastal,1854-03-21,1854-03-21,1854,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Isabella Watson,Victoria,Wilsons Promontory,Maritime/Coastal,1852-03-21,1852-03-21,1852,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Schah,Victoria,Cooma (VIC),Maritime/Coastal,1837-12-20,1837-12-20,1837,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Yarra Yarra,Tasmania,Launceston,Maritime/Coastal,1838-09-20,1838-09-20,1838,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Dunbar,New South Wales,Sydney,Maritime/Coastal,1857-08-20,1857-08-20,1857,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Rambler ,New South Wales,Sydney,Maritime/Coastal,1847-07-20,1847-07-20,1847,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Cheviot,Victoria,Wilsons Promontory,Maritime/Coastal,1887-10-19,1887-10-19,1887,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Marie,Victoria,Warrnambool (VIC),Maritime/Coastal,1851-09-19,1851-09-19,1851,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Carrington,New South Wales,Sydney,Maritime/Coastal,1842-05-19,1842-05-20,1842,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Antares,Tasmania,Launceston,Maritime/Coastal,1853-02-19,1853-02-19,1853,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Balclutha,New South Wales,Sydney,Maritime/Coastal,1881-10-18,1881-10-18,1881,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Rembrandt,Victoria,Cooma (VIC),Maritime/Coastal,1860-04-18,1860-04-18,1860,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Peruvian ,Queensland,Cairns,Maritime/Coastal,1846-03-18,1846-03-18,1846,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Ellen Simpson,Victoria,Cooma (VIC),Maritime/Coastal,1866-05-17,1866-05-17,1866,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Favourite,Victoria,Wilsons Promontory,Maritime/Coastal,1852-05-17,1852-05-17,1852,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Port Phillip Packet,Tasmania,Launceston,Maritime/Coastal,1838-05-17,1838-05-17,1838,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Enchantress,Tasmania,Hobart,Maritime/Coastal,1835-07-16,1835-07-16,1835,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Annie Ward,Tasmania,Hobart,Maritime/Coastal,1898-11-15,1898-11-15,1898,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Monumental City,Victoria,Cooma (VIC),Maritime/Coastal,1853-05-15,1853-05-15,1853,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Rover,New South Wales,Wollongong,Maritime/Coastal,1841-10-14,1841-10-14,1841,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Conside,Victoria,Wilsons Promontory,Maritime/Coastal,1852-09-14,1852-09-14,1852,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - John Nussey,Victoria,Wilsons Promontory,Maritime/Coastal,1858-08-14,1858-08-14,1858,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Geltwood,South Australia,Mount Gambier (SA),Maritime/Coastal,1876-06-14,1876-06-14,1876,700000.0,0,0,0,0,0,1,0,0,0
Shipwreck - Neva,Tasmania,Launceston,Maritime/Coastal,1835-05-14,1835-05-14,1835,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Nonpareil,Victoria,Wilsons Promontory,Maritime/Coastal,1857-10-13,1857-10-13,1857,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Star of Greece,South Australia,Adelaide,Maritime/Coastal,1888-07-13,1888-07-13,1888,700000.0,0,0,0,0,0,1,0,0,0
Shipwreck - Rip,Victoria,Port Philip,Maritime/Coastal,1873-07-13,1873-07-13,1873,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Zephyr,Tasmania,Hobart,Maritime/Coastal,1852-07-13,1852-07-13,1852,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Spencer,Victoria,Wilsons Promontory,Maritime/Coastal,1854-01-13,1854-01-13,1854,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - St Patrick,New South Wales,Sydney,Maritime/Coastal,1835-01-13,1835-01-13,1835,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Carlisle Castle and City of York,Western Australia,Perth,Maritime/Coastal,1899-07-12,1899-07-12,1899,700000.0,0,0,0,0,0,0,0,1,0
Shipwreck - PSS Cawarra,New South Wales,Sydney,Maritime/Coastal,1866-07-12,1866-07-12,1866,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - George lll,Tasmania,Hobart,Maritime/Coastal,1835-04-12,1835-04-12,1835,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Dandenong,New South Wales,Wollongong,Maritime/Coastal,1876-09-11,1876-09-12,1876,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Farningham,Tasmania,Hobart,Maritime/Coastal,1884-07-11,1884-07-11,1884,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Macclesfield,Victoria,Wilsons Promontory,Maritime/Coastal,1861-07-11,1861-07-11,1861,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Domain,Victoria,Wilsons Promontory,Maritime/Coastal,1846-04-11,1846-04-11,1846,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Bonnie Dundee and Barrabool Collision,New South Wales,Sydney,Maritime/Coastal,1879-03-10,1879-03-11,1879,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Providence,Victoria,Melbourne,Maritime/Coastal,1872-11-09,1872-11-09,1872,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Elmgrove,Victoria,Wilsons Promontory,Maritime/Coastal,1876-09-09,1876-09-09,1876,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Zeewijk,Western Australia,Geraldton,Maritime/Coastal,1727-06-09,1727-06-09,1727,700000.0,0,0,0,0,0,0,0,1,0
Shipwreck - Kielawarra ,New South Wales,Tamworth,Maritime/Coastal,1886-12-08,1886-12-08,1886,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Bunyip,South Australia,Murray Bridge (SA),Maritime/Coastal,1863-12-08,1863-12-08,1863,700000.0,0,0,0,0,0,1,0,0,0
Shipwreck - Admiral Gifford,New South Wales,Sydney,Maritime/Coastal,1834-10-08,1834-10-08,1834,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Bertha,Victoria,Wilsons Promontory,Maritime/Coastal,1870-09-08,1870-09-08,1870,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Fairy,Tasmania,Launceston,Maritime/Coastal,1851-09-08,1851-09-08,1851,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Craigburn,Victoria,Wilsons Promontory,Maritime/Coastal,1891-05-08,1891-05-08,1891,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Circassian,Victoria,Cooma (VIC),Maritime/Coastal,1864-10-06,1864-10-06,1864,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Admella,South Australia,Adelaide,Maritime/Coastal,1859-08-06,1859-08-06,1859,700000.0,0,0,0,0,0,1,0,0,0
Shipwreck - Toroa,Victoria,Wilsons Promontory,Maritime/Coastal,1858-08-06,1858-08-06,1858,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Fiji,Victoria,Wilsons Promontory,Maritime/Coastal,1891-01-06,1891-01-06,1891,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Mars,Tasmania,Hobart,Maritime/Coastal,1837-05-05,1837-05-05,1837,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Cumberland,Western Australia,Albany,Maritime/Coastal,1830-03-05,1830-03-05,1830,700000.0,0,0,0,0,0,0,0,1,0
Shipwreck - Tyne,Tasmania,Hobart,Maritime/Coastal,1861-12-04,1861-12-04,1861,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Cataraqui,Tasmania,Launceston,Maritime/Coastal,1845-08-04,1845-08-04,1845,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Eric the Red,Victoria,Wilsons Promontory,Maritime/Coastal,1880-09-03,1880-09-03,1880,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Cambus Wallace ,Queensland,Brisbane,Maritime/Coastal,1894-09-02,1894-09-02,1894,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Julia,Victoria,Mount Gambier (VIC),Maritime/Coastal,1863-08-02,1863-08-02,1863,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Rainbow,New South Wales,Sydney,Maritime/Coastal,1864-06-02,1864-06-02,1864,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Isabella,New South Wales,Tamworth,Maritime/Coastal,1835-11-01,1835-11-01,1835,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Vixen,Queensland,Brisbane,Maritime/Coastal,1847-09-01,1847-09-01,1847,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Sally ,New South Wales,Sydney,Maritime/Coastal,1826-08-01,1826-08-01,1826,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Lightship Rose,Queensland,Brisbane,Maritime/Coastal,1857-05-01,1857-05-01,1857,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Columbine,Victoria,Wilsons Promontory,Maritime/Coastal,1854-04-01,1854-04-01,1854,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Georgina and Spy,Tasmania,Hobart,Maritime/Coastal,1848-04-01,1848-04-01,1848,700000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Sappho,Victoria,Wilsons Promontory,Maritime/Coastal,1858-02-01,1858-02-01,1858,700000.0,0,1,0,0,0,0,0,0,0
"Shipwreck - SIEV 221, Rocky Point, Christmas Island",Offshore,Christmas and Cocos Islands,Maritime/Coastal,2010-12-15,2010-12-15,2010,46700000.0,0,0,0,0,0,0,0,0,1
Shipwreck - Just Cruisin ,Queensland,Brisbane,Maritime/Coastal,2001-07-06,2001-07-06,2001,30000000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Mineral Diamond,Western Australia,Port Hedland,Maritime/Coastal,1991-04-15,1991-04-15,1991,22500000.0,0,0,0,0,0,0,0,1,0
Shipwreck - Shark Ace 4,Victoria,Cooma (VIC),Maritime/Coastal,1990-05-12,1990-05-12,1990,32000000.0,0,1,0,0,0,0,0,0,0
Shipwreck â€“ Nâ€™glucka ,New South Wales,Sydney,Maritime/Coastal,1990-01-08,1990-01-08,1990,32000000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Great Expectations,Tasmania,Launceston,Maritime/Coastal,1990-01-04,1990-01-04,1990,32000000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Booya,Northern Territory,Darwin,Maritime/Coastal,1974-12-24,1974-12-24,1974,68000000.0,0,0,0,0,0,0,1,0,0
Shipwreck - Mandorah Queen,Northern Territory,Darwin,Maritime/Coastal,1974-12-24,1974-12-24,1974,68000000.0,0,0,0,0,0,0,1,0,0
Shipwreck - Blythe Star II,Tasmania,Launceston,Maritime/Coastal,1973-10-12,1973-10-12,1973,30000000.0,0,0,0,0,1,0,0,0,0
Shipwreck - Collision Melbourne and Nieuw Holland,Victoria,Wilsons Promontory,Maritime/Coastal,1972-08-09,1972-08-09,1972,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Sedco Helen,Northern Territory,Darwin,Maritime/Coastal,1970-01-31,1970-01-31,1970,12000000.0,0,0,0,0,0,0,1,0,0
Shipwreck - Noongah,New South Wales,Tamworth,Maritime/Coastal,1969-08-25,1969-08-25,1969,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Port Welshpool Ship Explosion,Victoria,Wilsons Promontory,Maritime/Coastal,1969-03-22,1969-03-22,1969,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Naval Collision off Jervis Bay,New South Wales,Wollongong,Maritime/Coastal,1964-02-10,1964-02-10,1964,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Vicky,Victoria,Wilsons Promontory,Maritime/Coastal,1956-06-25,1956-06-25,1956,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Fairwind,New South Wales,Tamworth,Maritime/Coastal,1950-06-27,1950-06-27,1950,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - La Grange and Unidentified,Northern Territory,Darwin,Maritime/Coastal,1948-12-01,1948-12-01,1948,700000.0,0,0,0,0,0,0,1,0,0
Shipwreck - Sibigo ,Queensland,Cooktown,Maritime/Coastal,1945-03-16,1945-03-16,1945,700000.0,0,0,1,0,0,0,0,0,0
Shipwreck - Peter Silvester,Western Australia,Bunbury,Maritime/Coastal,1945-02-06,1945-02-06,1945,700000.0,0,0,0,0,0,0,0,1,0
Shipwreck - Macumba,Northern Territory,Coburg Peninsula,Maritime/Coastal,1943-08-06,1943-08-06,1943,700000.0,0,0,0,0,0,0,1,0,0
Shipwreck - Wollongong,New South Wales,Wollongong,Maritime/Coastal,1943-05-16,1943-05-16,1943,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - HMAS Kuttabul ,New South Wales,Sydney,Maritime/Coastal,1942-06-01,1942-06-01,1942,700000.0,1,0,0,0,0,0,0,0,0
Shipwreck - Submarine l-124,Northern Territory,Darwin,Maritime/Coastal,1942-01-20,1942-01-20,1942,700000.0,0,0,0,0,0,0,1,0,0
Shipwreck - HMAS Sydney,Offshore,Outside Territorial Waters,Maritime/Coastal,1941-11-19,1941-11-19,1941,700000.0,0,0,0,0,0,0,0,0,1
Shipwreck - Goorangai,Victoria,Wilsons Promontory,Maritime/Coastal,1940-11-20,1940-11-20,1940,2000000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Kakariki and SS Caradale,Victoria,Melbourne,Maritime/Coastal,1937-01-29,1937-01-29,1937,700000.0,0,1,0,0,0,0,0,0,0
Shipwreck - Paringa,Victoria,Wilsons Promontory,Maritime/Coastal,1935-12-26,1935-12-26,1935,700000.0,0,1,0,0,0,0,0,0,0
